crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
,0.0,18.1,0.0,0.614,,,2.1007,,,20.2,349.48,24.91,12.0
0.62739,0.0,8.14,,,5.834,56.5,,4.0,307.0,,,8.47,19.9
,35.0,,,,,,6.6407,1.0,,,362.25,7.83,19.4
,0.0,,,0.614,6.103,85.1,2.0218,24.0,,20.2,2.52,23.29,13.4
,0.0,,0.0,,5.727,,3.7965,4.0,,,,11.28,18.2
,0.0,7.38,0.0,,6.431,,5.4159,,287.0,19.6,,,24.6
,0.0,,0.0,,,34.5,,,,20.2,396.9,8.01,21.1
0.02055,,,0.0,0.41,6.383,35.7,,,313.0,17.3,396.9,,24.7
15.1772,,18.1,,,6.152,100.0,1.9142,,,,9.32,,8.7
,0.0,18.1,,0.597,6.852,100.0,,,666.0,20.2,179.36,,27.5
0.03738,0.0,5.19,,0.515,,38.5,,5.0,224.0,20.2,389.4,6.75,20.7
0.06888,0.0,,0.0,0.488,6.144,62.2,2.5979,3.0,,,396.9,,36.2
0.41238,,,0.0,0.504,7.163,79.9,3.2157,,,,372.08,6.36,31.6
,0.0,,0.0,0.713,,95.0,2.2222,24.0,,20.2,,15.17,11.7
0.06588,0.0,2.46,,0.488,7.765,83.3,,3.0,193.0,17.8,,7.56,39.8
,0.0,8.14,,0.538,5.599,,4.4546,4.0,307.0,21.0,,16.51,13.9
0.17331,0.0,9.69,,,5.707,,2.3817,6.0,,,396.9,12.01,21.8
0.08244,,,0.0,0.428,,18.5,6.1899,,300.0,,379.41,,23.7
,,,,0.431,,,,7.0,,19.1,,12.5,17.6
,,5.86,,0.431,6.487,13.0,7.3967,7.0,330.0,19.1,396.28,5.9,24.4
73.5341,0.0,18.1,0.0,,5.957,,1.8026,,666.0,20.2,,,8.8
0.15098,0.0,,,,,82.6,2.7474,6.0,432.0,17.8,394.51,10.3,19.2
,,6.91,0.0,0.448,,,,3.0,,17.9,,5.81,25.3
0.35114,0.0,7.38,0.0,0.493,,,4.7211,5.0,,19.6,396.9,7.7,20.4
,85.0,4.15,,0.429,6.516,27.7,,4.0,,,392.43,,23.1
0.09103,0.0,,0.0,0.488,7.155,92.2,2.7006,,,17.8,394.12,4.82,37.9
,0.0,19.58,,0.871,,82.6,1.7455,5.0,403.0,,88.01,15.02,15.6
,20.0,3.33,,0.4429,7.82,,,,216.0,,387.31,3.76,45.4
0.38735,0.0,,0.0,0.581,5.613,95.6,,,188.0,19.1,359.29,,15.7
,0.0,3.24,0.0,0.46,,,,4.0,,16.9,,,22.6
1.35472,,8.14,,,6.072,100.0,,4.0,307.0,21.0,,13.04,14.5
,0.0,,,,6.092,95.4,2.548,,432.0,,396.9,,18.7
,,,0.0,,5.186,,1.5296,,403.0,14.7,,28.32,17.8
6.44405,,18.1,,0.584,6.425,,,24.0,,20.2,97.95,12.03,16.1
0.03306,,5.19,0.0,0.515,6.059,,,,,20.2,,,20.6
,,1.32,,0.411,6.816,,8.3248,,,15.1,392.9,,31.6
0.01439,,2.93,0.0,,,18.8,6.2196,1.0,,,,,29.1
,0.0,8.14,,,5.924,94.1,,4.0,,21.0,394.33,,15.6
0.7842,,,,0.538,5.99,,4.2579,4.0,307.0,21.0,386.75,,17.5
,,,0.0,0.4,6.345,,7.8278,,358.0,14.8,368.24,,22.5
0.04379,80.0,,,0.398,5.787,31.1,,4.0,337.0,,396.9,10.24,19.4
0.37578,,10.59,1.0,,5.404,88.6,3.665,,,,395.24,23.98,19.3
,0.0,,,0.693,5.531,,1.6074,,,,329.46,27.38,8.5
,28.0,15.04,,0.464,,77.3,3.615,,,,,10.59,20.6
,,19.58,1.0,0.871,6.129,,1.7494,,,14.7,321.02,15.12,17.0
,0.0,,0.0,,6.406,,,24.0,666.0,,,19.52,17.1
,0.0,8.14,0.0,,,100.0,4.0952,4.0,,21.0,394.54,19.88,14.5
0.52693,0.0,,0.0,,,83.0,,8.0,,,382.0,,50.0
,0.0,18.1,0.0,,6.436,87.9,2.3158,,666.0,20.2,100.19,16.22,14.3
,,18.1,0.0,0.74,,96.6,2.198,24.0,666.0,,,16.44,12.6
0.02985,0.0,,,0.458,6.43,,6.0622,3.0,,,394.12,5.21,28.7
0.13158,,,,0.547,,72.5,2.7301,,432.0,,,12.04,21.2
,0.0,6.91,,0.448,5.682,33.8,5.1004,,,,396.9,10.21,19.3
,0.0,,,0.538,,29.3,4.4986,,307.0,21.0,386.85,,23.1
15.5757,,18.1,0.0,0.58,5.926,71.0,2.9084,24.0,666.0,20.2,368.74,,19.1
4.54192,0.0,18.1,0.0,0.77,,,2.5182,,666.0,,,,25.0
,0.0,2.18,0.0,0.458,,45.8,,3.0,,18.7,394.63,,33.4
67.9208,,18.1,0.0,0.693,5.683,,1.4254,,666.0,20.2,384.97,22.98,5.0
0.06047,,2.46,0.0,0.488,6.153,68.8,3.2797,3.0,193.0,17.8,,13.15,29.6
0.14932,,5.13,0.0,0.453,5.741,,,8.0,,19.7,,,18.7
,,,,0.52,6.195,54.4,,5.0,384.0,20.9,393.49,,21.7
0.18159,,7.38,,,6.376,54.3,4.5404,,,,,,23.1
0.76162,20.0,,,0.647,,,1.9865,5.0,264.0,13.0,392.4,,22.8
1.00245,0.0,8.14,0.0,,6.674,87.3,,4.0,307.0,21.0,380.23,,21.0
0.52014,,,0.0,,,91.5,,5.0,264.0,13.0,386.86,5.91,48.8
10.233,0.0,18.1,0.0,0.614,6.185,,2.1705,,,20.2,379.7,18.03,14.6
0.67191,0.0,8.14,,0.538,,90.3,,,,21.0,376.88,14.81,16.6
0.14455,12.5,7.87,,0.524,,96.1,,5.0,311.0,,396.9,,27.1
0.11132,,27.74,,,,,2.1099,4.0,711.0,20.1,396.9,13.35,20.1
0.12802,,8.56,,0.52,,97.1,,5.0,384.0,20.9,395.24,,19.8
0.08014,,5.96,0.0,,5.85,,3.9342,5.0,279.0,19.2,,8.77,21.0
,,19.58,0.0,0.605,6.943,,1.8773,5.0,403.0,,363.43,,41.3
3.56868,0.0,18.1,,0.58,6.437,75.0,,24.0,666.0,,393.37,14.36,23.2
,0.0,,0.0,,,73.1,2.4775,6.0,432.0,17.8,338.63,,20.4
,,10.01,0.0,0.547,,,2.2565,6.0,432.0,17.8,388.74,10.45,18.5
0.06664,0.0,,,0.51,6.546,,3.1323,,,16.6,,5.33,29.4
,45.0,3.44,,,7.178,,,5.0,,15.2,,2.87,36.4
,,6.96,0.0,,,58.7,3.9175,,,,,7.73,24.4
,,19.58,,,,,1.3459,,,,,29.29,11.8
,0.0,18.1,,,4.906,100.0,1.1742,24.0,,,,,13.8
7.99248,,,0.0,0.7,5.52,,1.5331,24.0,666.0,20.2,,24.56,12.3
,0.0,18.1,1.0,0.77,,,,24.0,666.0,,377.73,,17.8
,,,,,6.826,27.6,,,,17.6,393.45,4.16,33.1
0.35809,,,1.0,0.507,,,,8.0,307.0,17.4,391.7,9.71,26.7
6.71772,0.0,18.1,0.0,0.713,,92.6,,,,,0.32,17.44,13.4
,,21.89,,0.624,,,1.4394,4.0,437.0,,396.9,34.41,14.4
,0.0,18.1,,0.631,6.683,96.8,1.3567,24.0,666.0,20.2,,3.73,50.0
0.05789,,,0.0,0.409,5.878,21.4,6.498,4.0,345.0,,,,22.0
3.83684,0.0,18.1,,0.77,6.251,,2.2955,24.0,666.0,,,,19.9
,0.0,19.58,,0.605,6.319,96.1,2.1,,,,297.09,11.1,23.8
0.17783,,,0.0,0.585,5.569,73.5,2.3999,6.0,,19.2,,,17.5
13.3598,0.0,18.1,0.0,0.693,5.887,,1.7821,24.0,666.0,20.2,396.9,16.35,12.7
,0.0,18.1,0.0,0.693,5.987,,,24.0,666.0,,,26.77,5.6
0.02187,60.0,2.93,0.0,,,,6.2196,1.0,265.0,15.6,393.37,5.03,31.1
,22.0,5.86,,0.431,6.718,,7.8265,,330.0,,,6.56,26.2
0.26363,,8.56,0.0,,,91.2,2.5451,,,20.9,391.23,15.55,19.4
,0.0,18.1,0.0,0.718,,,1.8589,,666.0,,,15.02,16.7
,0.0,,,0.871,,,1.4191,,403.0,,,,13.8
0.04203,,,0.0,,6.442,,,4.0,270.0,18.2,395.01,8.16,22.9
1.12658,0.0,19.58,,,,,1.6102,,,14.7,343.28,12.12,15.3
0.62356,0.0,6.2,,0.507,6.879,,3.2721,,,,,9.93,27.5
,,2.18,,,7.236,41.1,,7.0,222.0,,393.68,6.93,36.1
,,4.86,0.0,0.426,6.167,46.7,,,281.0,,,7.51,22.9
0.16439,22.0,5.86,,,,,7.8265,7.0,,,,,24.5
,0.0,19.58,0.0,,,93.0,,5.0,403.0,,,9.81,25.0
1.51902,0.0,19.58,1.0,,8.375,93.9,2.162,5.0,403.0,14.7,,,50.0
0.0315,95.0,1.47,0.0,,,15.3,7.6534,3.0,402.0,17.0,396.9,,34.9
0.46296,0.0,6.2,0.0,0.504,,76.9,3.6715,8.0,,17.4,,,31.7
0.07896,0.0,12.83,0.0,0.437,,,4.2515,,398.0,,394.92,6.78,24.1
0.79041,,9.9,,,6.122,,2.6403,4.0,304.0,18.4,,5.98,22.1
,0.0,,,0.713,,,2.4358,24.0,666.0,20.2,50.92,,14.1
0.36894,22.0,5.86,0.0,,,8.4,8.9067,7.0,,,396.9,3.54,42.8
0.14476,0.0,10.01,,0.547,5.731,65.2,2.7592,6.0,,17.8,391.5,,19.3
0.00906,90.0,,,0.4,7.088,20.8,,,285.0,15.3,394.72,7.85,32.2
0.09266,,6.09,0.0,0.433,,,5.4917,7.0,329.0,16.1,,,26.4
2.81838,0.0,18.1,,0.532,5.762,,,24.0,666.0,20.2,392.92,,21.8
3.8497,,18.1,1.0,0.77,,,2.5052,24.0,,20.2,391.34,13.27,21.7
,0.0,,,0.693,5.349,96.0,,24.0,666.0,,396.9,19.77,8.3
,0.0,,0.0,0.504,,,3.3751,,307.0,,377.51,3.92,46.7
0.53412,,,0.0,0.647,7.52,89.4,,5.0,264.0,,388.37,7.26,43.1
0.51183,0.0,6.2,,,,,,,307.0,,,4.73,31.5
,,18.1,0.0,0.7,,100.0,1.4672,,666.0,20.2,396.9,,10.5
,,,0.0,0.614,6.484,93.6,2.3053,24.0,,20.2,396.21,18.68,16.7
0.09744,0.0,5.96,,0.499,5.841,,3.3779,,279.0,19.2,377.56,,20.0
0.04011,,1.52,,0.404,7.287,,,,329.0,,396.9,4.08,33.3
0.54452,0.0,21.89,,0.624,,,1.6687,,437.0,,396.9,,17.8
4.89822,0.0,,0.0,,,,,24.0,,20.2,375.52,3.26,50.0
0.19657,22.0,5.86,,0.431,6.226,79.2,,,330.0,19.1,376.14,10.15,20.5
0.03871,,5.32,0.0,0.405,,,7.3172,6.0,,16.6,396.9,,23.2
,0.0,,0.0,0.671,6.38,,1.3861,,,20.2,396.9,,13.1
,25.0,5.13,,,5.927,,6.932,8.0,284.0,,396.9,,19.6
,0.0,10.01,,0.547,6.715,81.6,2.6775,6.0,432.0,,395.59,10.16,22.8
0.05302,0.0,3.41,0.0,0.489,7.079,,3.4145,2.0,270.0,17.8,,,28.7
,,3.97,0.0,,7.014,84.6,2.1329,,264.0,13.0,384.07,14.79,30.7
0.08829,,7.87,0.0,,,66.6,5.5605,,311.0,15.2,,,22.9
,0.0,,1.0,0.718,,82.9,1.9047,24.0,666.0,,,5.29,21.9
,,,,,,,2.1675,,,,,,23.9
0.01301,35.0,1.52,0.0,,,49.3,,1.0,284.0,15.5,394.74,,32.7
1.34284,,19.58,0.0,0.605,6.066,100.0,,5.0,403.0,,353.89,,24.3
,0.0,19.58,0.0,,6.122,,1.618,,403.0,,,,21.5
,,4.05,0.0,0.51,6.315,73.4,3.3175,5.0,296.0,16.6,395.6,6.29,24.6
7.67202,0.0,18.1,0.0,0.693,5.747,98.9,1.6334,24.0,666.0,20.2,393.1,19.92,8.5
0.08308,0.0,2.46,0.0,0.488,5.604,,,,,,,13.98,26.4
0.40202,0.0,9.9,0.0,,,,3.5325,,304.0,,395.21,,23.1
0.22489,,,0.0,0.524,,94.3,,,,15.2,392.52,,15.0
,,18.1,0.0,0.7,4.368,91.2,1.4395,,,20.2,,30.63,8.8
0.21161,,,,,6.137,87.4,2.7147,5.0,384.0,20.9,,13.44,19.3
0.04462,,,0.0,0.426,,70.4,5.4007,,281.0,,,7.22,23.9
0.17505,,5.96,0.0,0.499,5.966,,3.8473,5.0,,19.2,,10.13,24.7
0.24522,,9.9,0.0,0.544,5.782,71.7,,4.0,304.0,18.4,396.9,,19.8
1.80028,,19.58,0.0,,,79.2,2.4259,,403.0,,227.61,12.14,23.8
6.39312,,18.1,,0.584,6.162,97.4,2.206,24.0,666.0,20.2,302.76,24.1,13.3
0.05561,70.0,2.24,0.0,,,,7.8278,5.0,358.0,,,4.74,29.0
0.05372,,13.92,0.0,0.437,,,,4.0,,,,7.39,27.1
,,1.52,,,,38.3,,2.0,,,392.2,,34.6
,0.0,18.1,0.0,0.671,6.794,98.8,,24.0,666.0,,396.9,21.24,13.3
,0.0,,0.0,,5.628,,1.5166,5.0,,14.7,169.27,16.65,15.6
,0.0,18.1,,0.693,6.405,96.0,1.6768,24.0,,20.2,,19.37,12.5
,,,,0.871,4.926,95.7,1.4608,,403.0,,,29.53,14.6
7.36711,,18.1,0.0,0.679,,,1.9356,,,20.2,96.73,21.52,11.0
,52.5,5.32,,0.405,,,7.3172,,,16.6,371.72,,24.8
0.15038,,25.65,0.0,0.581,,,1.9444,,,19.1,370.31,25.41,17.3
0.20746,0.0,27.74,0.0,,,98.0,1.8226,,,20.1,,,8.1
,0.0,2.89,0.0,0.445,,,3.4952,2.0,276.0,,,11.34,21.4
4.0974,0.0,,0.0,0.871,,,1.4118,5.0,,14.7,,26.42,15.6
0.09252,30.0,4.93,0.0,0.428,6.606,42.2,,,,16.6,383.78,7.37,23.3
,40.0,,,0.447,6.854,42.8,4.2673,4.0,254.0,,396.9,2.98,32.0
0.12083,,2.89,0.0,0.445,8.069,76.0,3.4952,,276.0,,,4.21,38.7
0.01709,,2.02,0.0,,,36.1,,5.0,,17.0,384.46,4.5,30.1
0.09299,,25.65,0.0,,,92.9,2.0869,2.0,,19.1,,,20.5
,0.0,,0.0,,,95.6,2.847,,,17.8,396.9,5.68,32.5
0.02177,,2.03,0.0,0.415,7.61,15.7,,,348.0,14.7,,3.11,42.3
0.33983,,,0.0,,6.108,,8.0555,7.0,,19.1,390.18,9.16,24.3
2.37857,0.0,18.1,,0.583,5.871,,3.724,24.0,,20.2,370.73,,20.6
,34.0,6.09,0.0,0.433,6.59,,,7.0,,,395.75,9.5,22.0
,,1.91,0.0,,,,,,334.0,22.0,,8.05,18.2
,0.0,,,,5.757,,1.413,,666.0,,2.6,10.11,15.0
9.91655,,,0.0,,5.852,77.8,,24.0,666.0,20.2,,29.97,6.3
0.01965,80.0,1.76,0.0,,6.23,31.5,9.0892,1.0,241.0,18.2,341.6,,20.1
0.16902,0.0,,0.0,,5.986,,,2.0,188.0,,385.02,14.81,21.4
0.05479,33.0,,0.0,0.472,6.616,58.1,,7.0,,18.4,,,28.4
0.6147,,6.2,0.0,0.507,,80.8,3.2721,8.0,307.0,17.4,396.9,7.6,30.1
12.0482,,18.1,0.0,,,87.6,1.9512,,666.0,20.2,,14.1,20.8
0.11425,0.0,,1.0,,,92.4,3.3633,5.0,276.0,16.4,393.74,10.5,23.0
0.88125,0.0,21.89,,,5.637,94.7,,4.0,,21.2,396.9,,14.3
8.79212,0.0,,0.0,0.584,5.565,70.6,2.0635,24.0,666.0,20.2,3.65,17.16,11.7
,,,0.0,,7.148,27.7,,4.0,245.0,19.2,396.9,3.56,37.3
0.05023,35.0,6.06,0.0,,5.706,28.4,6.6407,,304.0,16.9,394.02,12.43,17.1
88.9762,0.0,18.1,,0.671,6.968,,,,666.0,20.2,,17.21,10.4
5.82401,0.0,18.1,,,6.242,64.7,3.4242,,,,396.9,10.74,23.0
5.20177,,,1.0,0.77,6.127,,2.7227,24.0,666.0,,395.43,,22.7
0.14103,0.0,13.92,0.0,,,58.0,6.32,4.0,289.0,,,,20.3
,0.0,13.92,0.0,0.437,6.009,42.3,5.5027,4.0,,16.0,,10.4,21.7
6.53876,,,1.0,0.631,7.016,,1.2024,24.0,666.0,20.2,392.05,,50.0
13.6781,,,0.0,,,,1.8206,24.0,666.0,,,34.02,8.4
0.12329,0.0,10.01,,0.547,5.913,92.9,2.3534,6.0,432.0,,394.95,,18.8
0.0578,0.0,,0.0,0.488,6.98,58.4,,3.0,193.0,17.8,396.9,5.04,37.2
2.63548,,9.9,0.0,0.544,,37.8,,4.0,304.0,,,,16.1
